district_name,Longitude,Latitude,river name,elevation,distance_from_river,rainfall,urban_population,land_area,density,year,month,flooding
Balaka,34.97,-15.0036,Lifidzi,1936,92.28,121.3,474026,142316,3.33,2019,december,1
Balaka,34.97,-15.0036,Lirangwe,1936,43.65,121.3,474026,142317,3.33,2019,december,1
Balaka,34.97,-15.0036,Lifidzi,1936,92.28,,474026,142316,3.33,2020,december,0
Balaka,34.97,-15.0036,Lirangwe,1936,43.65,,474026,142317,3.33,2020,december,0
Balaka,34.97,-15.0036,Lifidzi,1936,92.28,109.7,474026,142316,3.33,2021,december,1
Balaka,34.97,-15.0036,Lirangwe,1936,43.65,109.7,474026,142317,3.33,2021,december,1
Balaka,34.97,-15.0036,Lifidzi,1936,92.28,508.3,474026,142316,3.33,2022,december,1
Balaka,34.97,-15.0036,Lirangwe,1936,43.65,508.3,474026,142317,3.33,2022,december,1
Blantyre,34.99,-15.7843,Mudi,2861,16.84,124.2,840616,785339,1.07,2019,december,0
Blantyre,34.99,-15.7843,Mwanza,2861,37.14,124.2,840616,785340,1.07,2019,december,0
Blantyre,34.99,-15.7843,Nasolo,2861,,124.2,840616,785341,1.07,2019,december,0
Blantyre,34.99,-15.7843,Kholombidzo,2861,,124.2,840616,785342,1.07,2019,december,0
Blantyre,34.99,-15.7843,Lunzu,2861,21.01,124.2,840616,785343,1.07,2019,december,0
Blantyre,34.99,-15.7843,Mudi,2861,16.84,859.4,840616,785339,1.07,2020,december,0
Blantyre,34.99,-15.7843,Mwanza,2861,37.14,859.4,840616,785340,1.07,2020,december,0
Blantyre,34.99,-15.7843,Nasolo,2861,,859.4,840616,785341,1.07,2020,december,0
Blantyre,34.99,-15.7843,Kholombidzo,2861,,859.4,840616,785342,1.07,2020,december,0
Blantyre,34.99,-15.7843,Lunzu,2861,21.01,859.4,840616,785343,1.07,2020,december,0
Blantyre,34.99,-15.7843,Mudi,2861,16.84,110.1,840616,785339,1.07,2021,december,1
Blantyre,34.99,-15.7843,Mwanza,2861,37.14,110.1,840616,785340,1.07,2021,december,1
Blantyre,34.99,-15.7843,Nasolo,2861,,110.1,840616,785341,1.07,2021,december,1
Blantyre,34.99,-15.7843,Kholombidzo,2861,,110.1,840616,785342,1.07,2021,december,1
Blantyre,34.99,-15.7843,Lunzu,2861,21.01,110.1,840616,785343,1.07,2021,december,1
Blantyre,34.99,-15.7843,Mudi,2861,16.84,727,840616,785339,1.07,2022,december,1
Blantyre,34.99,-15.7843,Mwanza,2861,37.14,727,840616,785340,1.07,2022,december,1
Blantyre,34.99,-15.7843,Nasolo,2861,,727,840616,785341,1.07,2022,december,1
Blantyre,34.99,-15.7843,Kholombidzo,2861,,727,840616,785342,1.07,2022,december,1
Blantyre,34.99,-15.7843,Lunzu,2861,21.01,727,840616,785343,1.07,2022,december,1
Chikwawa,34.76,-16.0352,Shire,1109,101.86,21.6,599844,878437,0.68,2019,december,1
Chikwawa,34.76,-16.0352,Shire,1109,101.86,383.1,599844,878437,0.68,2020,december,0
Chikwawa,34.76,-16.0352,Shire,1109,101.86,62,599844,878437,0.68,2021,december,1
Chikwawa,34.76,-16.0352,Shire,1109,101.86,560,599844,878437,0.68,2022,december,1
Chiradzulu,35.27,-15.6899,Mwanje,3006,,64.4,375460,604356,0.62,2019,december,0
Chiradzulu,35.27,-15.6899,Mwanje,3006,,717.2,375460,604356,0.62,2020,december,0
Chiradzulu,35.27,-15.6899,Mwanje,3006,,91.9,375460,604356,0.62,2021,december,1
Chiradzulu,35.27,-15.6899,Mwanje,3006,,437.1,375460,604356,0.62,2022,december,1
Chitipa,33.62,-9.7012,Songwe,3881,70.83,78,246439,334176,0.74,2019,december,0
Chitipa,33.62,-9.7012,Songwe,3881,70.83,697.8,246439,334176,0.74,2020,december,0
Chitipa,33.62,-9.7012,Songwe,3881,70.83,,246439,334176,0.74,2021,december,0
Chitipa,33.62,-9.7012,Songwe,3881,70.83,,246439,334176,0.74,2022,december,1
Dedza,34.05,-14.3838,Linthipe,3192,,99.9,884146,754625,1.17,2019,december,0
Dedza,34.05,-14.3838,Linthipe,3192,,602.5,884146,754625,1.17,2020,december,0
Dedza,34.05,-14.3838,Linthipe,3192,,20.8,884146,754625,1.17,2021,december,0
Dedza,34.05,-14.3838,Linthipe,3192,,437.1,884146,754625,1.17,2022,december,1
Dowa,33.77,-13.6744,Lilongwe,3980,37.63,47.3,830543,77559,10.71,2019,december,0
Dowa,33.77,-13.6744,Lingadzi,3980,28.82,47.3,830543,77559,10.71,2019,december,0
Dowa,33.77,-13.6744,Lilongwe,3980,37.63,553.6,830543,77559,10.71,2020,december,0
Dowa,33.77,-13.6744,Lingadzi,3980,28.82,553.6,830543,77559,10.71,2020,december,0
Dowa,33.77,-13.6744,Lilongwe,3980,37.63,28.4,830543,77559,10.71,2021,december,0
Dowa,33.77,-13.6744,Lingadzi,3980,28.82,28.4,830543,77559,10.71,2021,december,0
Dowa,33.77,-13.6744,Lilongwe,3980,37.63,,830543,77559,10.71,2022,december,1
Dowa,33.77,-13.6744,Lingadzi,3980,28.82,,830543,77559,10.71,2022,december,1
Karonga,33.9,-9.9546,Rukuru,3291,,95.5,386717,416264,0.93,2019,december,1
Karonga,33.9,-9.9546,Songwe,3291,19.39,95.5,386717,416264,0.93,2019,december,1
Karonga,33.9,-9.9546,Rukuru,3291,,242.6,386717,416264,0.93,2020,december,0
Karonga,33.9,-9.9546,Songwe,3291,19.39,242.6,386717,416264,0.93,2020,december,0
Karonga,33.9,-9.9546,Rukuru,3291,,74.9,386717,416264,0.93,2021,december,0
Karonga,33.9,-9.9546,Songwe,3291,19.39,74.9,386717,416264,0.93,2021,december,0
Karonga,33.9,-9.9546,Rukuru,3291,,323.5,386717,416264,0.93,2022,december,1
Karonga,33.9,-9.9546,Songwe,3291,19.39,323.5,386717,416264,0.93,2022,december,1
Kasungu,33.47,-13.0363,Luwerezi,3458,,53.1,901545,416264,2.17,2019,december,0
Kasungu,33.47,-13.0363,Lingadzi,3458,69.43,53.1,901545,17623,51.16,2019,december,0
Kasungu,33.47,-13.0363,Sani,3458,,53.1,901545,17623,51.16,2019,december,0
Kasungu,33.47,-13.0363,Luwerezi,3458,,508,901545,416264,2.17,2020,december,0
Kasungu,33.47,-13.0363,Lingadzi,3458,69.43,508,901545,17623,51.16,2020,december,0
Kasungu,33.47,-13.0363,Sani,3458,,508,901545,17623,51.16,2020,december,0
Kasungu,33.47,-13.0363,Luwerezi,3458,,0.1,901545,416264,2.17,2021,december,0
Kasungu,33.47,-13.0363,Lingadzi,3458,69.43,0.1,901545,17623,51.16,2021,december,0
Kasungu,33.47,-13.0363,Sani,3458,,0.1,901545,17623,51.16,2021,december,0
Kasungu,33.47,-13.0363,Luwerezi,3458,,298.3,901545,416264,2.17,2022,december,1
Kasungu,33.47,-13.0363,Lingadzi,3458,69.43,298.3,901545,17623,51.16,2022,december,1
Kasungu,33.47,-13.0363,Sani,3458,,298.3,901545,17623,51.16,2022,december,1
Likoma,34.74,-12.0531,Likoma,1698,0.64,,15316,71414,0.21,2019,december,0
Likoma,34.74,-12.0531,Likoma,1698,0.64,,15316,71414,0.21,2020,december,0
Likoma,34.74,-12.0531,Likoma,1698,0.64,,15316,71414,0.21,2021,december,0
Likoma,34.74,-12.0531,Likoma,1698,0.64,,15316,71414,0.21,2022,december,1
Lilongwe,34.74,-12.0531,Lilongwe,3619,55.76,139.5,1081720,532989,2.03,2019,december,0
Lilongwe,34.74,-12.0531,Lilongwe,3619,55.76,509.6,1081720,532989,2.03,2020,december,1
Lilongwe,34.74,-12.0531,Lilongwe,3619,55.76,20.8,1081720,532989,2.03,2021,december,1
Lilongwe,34.74,-12.0531,Lilongwe,3619,55.76,423,1081720,532989,2.03,2022,december,1
Machinga,33.77,-13.9899,Domasi,2159,25.48,45.4,809245,582494,1.39,2019,december,1
Machinga,35.53,-15.0925,Shire,2159,37.39,45.4,809245,582494,1.39,2019,december,1
Machinga,33.77,-13.9899,Domasi,2159,25.48,459.8,809245,582494,1.39,2020,december,0
Machinga,35.53,-15.0925,Shire,2159,37.39,459.8,809245,582494,1.39,2020,december,0
Machinga,33.77,-13.9899,Domasi,2159,25.48,31.1,809245,582494,1.39,2021,december,1
Machinga,35.53,-15.0925,Shire,2159,37.39,31.1,809245,582494,1.39,2021,december,0
Machinga,33.77,-13.9899,Domasi,2159,25.48,445.1,809245,582494,1.39,2022,december,1
Machinga,35.53,-15.0925,Shire,2159,37.39,445.1,809245,582494,1.39,2022,december,1
Mangochi,35.53,-15.0925,Shire,2385,78.53,106.8,1254609,729796,1.72,2019,december,1
Mangochi,35.53,-15.0925,Shire,2385,78.53,532.8,1254609,729796,1.72,2020,december,0
Mangochi,35.53,-15.0925,Shire,2385,78.53,6.3,1254609,729796,1.72,2021,december,1
Mangochi,35.53,-15.0925,Shire,2385,78.53,263.8,1254609,729796,1.72,2022,december,1
Mchinji,35.24,-14.4759,Molere,3576,,88.8,640950,131454,4.88,2019,december,1
Mchinji,35.24,-14.4759,Molere,3576,,554.7,640950,131454,4.88,2020,december,1
Mchinji,35.24,-14.4759,Molere,3576,,40.2,640950,131454,4.88,2021,december,0
Mchinji,35.24,-14.4759,Molere,3576,,910.4,640950,131454,4.88,2022,december,1
Mulanje,33.92,-13.7907,Thuchila,2520,32.95,141.3,728962,5523,131.99,2019,december,0
Mulanje,33.92,-13.7907,Namadzi,2520,15.37,141.3,728962,5523,131.99,2019,december,0
Mulanje,33.92,-13.7907,Ruo,2520,11.14,141.3,728962,5523,131.99,2019,december,0
Mulanje,33.92,-13.7907,Thuchila,2520,32.95,968.3,728962,5523,131.99,2020,december,0
Mulanje,33.92,-13.7907,Namadzi,2520,15.37,968.3,728962,5523,131.99,2020,december,0
Mulanje,33.92,-13.7907,Ruo,2520,11.14,968.3,728962,5523,131.99,2020,december,0
Mulanje,33.92,-13.7907,Thuchila,2520,32.95,218,728962,5523,131.99,2021,december,1
Mulanje,33.92,-13.7907,Namadzi,2520,15.37,218,728962,5523,131.99,2021,december,1
Mulanje,33.92,-13.7907,Ruo,2520,11.14,218,728962,5523,131.99,2021,december,1
Mulanje,33.92,-13.7907,Thuchila,2520,32.95,,728962,5523,131.99,2022,december,1
Mulanje,33.92,-13.7907,Namadzi,2520,15.37,910.4,728962,5523,131.99,2022,december,1
Mulanje,33.92,-13.7907,Ruo,2520,11.14,910.4,728962,5523,131.99,2022,december,1
Mwanza,35.52,-16.0296,Shire,2157,64.6,300.1,142481,237130,0.6,2019,december,0
Mwanza,35.52,-16.0296,Shire,2157,64.6,837.1,142481,237130,0.6,2020,december,0
Mwanza,35.52,-16.0296,Shire,2157,64.6,12.1,142481,237130,0.6,2021,december,0
Mwanza,35.52,-16.0296,Shire,2157,64.6,550.8,142481,237130,0.6,2022,december,1
Mzimba,34.52,-15.6038,Lupaso,3219,,42.2,982390,473718,2.07,2019,december,0
Mzimba,33.61,-11.8733,South Rukuru,3219,127.67,42.2,982390,473718,2.07,2019,december,0
Mzimba,34.52,-15.6038,Lupaso,3219,,629.9,982390,473718,2.07,2020,december,0
Mzimba,33.61,-11.8733,South Rukuru,3219,127.67,629.9,982390,473718,2.07,2020,december,0
Mzimba,34.52,-15.6038,Lupaso,3219,,30.8,982390,473718,2.07,2021,december,1
Mzimba,33.61,-11.8733,South Rukuru,3219,127.67,30.8,982390,473718,2.07,2021,december,1
Mzimba,34.52,-15.6038,Lupaso,3219,,221.8,982390,473718,2.07,2022,december,1
Mzimba,33.61,-11.8733,South Rukuru,3219,127.67,221.8,982390,473718,2.07,2022,december,1
Neno,35.25,-15.5683,Neno,2247,,74.1,146530,561108,0.26,2019,december,0
Neno,35.25,-15.5683,Neno,2247,,453.5,146530,561108,0.26,2020,december,0
Neno,35.25,-15.5683,Neno,2247,,12.1,146530,561108,0.26,2021,december,0
Neno,35.25,-15.5683,Neno,2247,,765.4,146530,561108,0.26,2022,december,1
Nkhata Bay,34.22,-11.6083,Songwe,2192,165.08,169.5,298235,182215,1.64,2019,december,0
Nkhata Bay,34.22,-11.6083,Likoma,2192,,169.5,298235,182215,1.64,2019,december,0
Nkhata Bay,34.22,-11.6083,North Rukuru,2192,149.37,169.5,298235,182215,1.64,2019,december,0
Nkhata Bay,34.22,-11.6083,Songwe,2192,165.08,789.8,298235,182215,1.64,2020,december,0
Nkhata Bay,34.22,-11.6083,Likoma,2192,,789.8,298235,182215,1.64,2020,december,0
Nkhata Bay,34.22,-11.6083,North Rukuru,2192,149.37,789.8,298235,182215,1.64,2020,december,0
Nkhata Bay,34.22,-11.6083,Songwe,2192,165.08,15.9,298235,182215,1.64,2021,december,0
Nkhata Bay,34.22,-11.6083,Likoma,2192,,15.9,298235,182215,1.64,2021,december,0
Nkhata Bay,34.22,-11.6083,North Rukuru,2192,149.37,15.9,298235,182215,1.64,2021,december,0
Nkhata Bay,34.22,-11.6083,Songwe,2192,165.08,,298235,182215,1.64,2022,december,0
Nkhata Bay,34.22,-11.6083,Likoma,2192,,,298235,182215,1.64,2022,december,0
Nkhata Bay,34.22,-11.6083,North Rukuru,2192,149.37,,298235,182215,1.64,2022,december,0
Nkhotakota,34.03,-12.9269,Bua,2852,23.11,152.7,417398,338299,1.23,2019,december,1
Nkhotakota,34.03,-12.9269,Dwangwa,2852,36.22,152.7,417398,338299,1.23,2019,december,1
Nkhotakota,34.03,-12.9269,Bua,2852,23.11,983.2,417398,338299,1.23,2020,december,0
Nkhotakota,34.03,-12.9269,Dwangwa,2852,36.22,983.2,417398,338299,1.23,2020,december,0
Nkhotakota,34.03,-12.9269,Bua,2852,23.11,42.7,417398,338299,1.23,2021,december,0
Nkhotakota,34.03,-12.9269,Dwangwa,2852,36.22,42.7,417398,338299,1.23,2021,december,0
Nkhotakota,34.03,-12.9269,Bua,2852,23.11,,417398,338299,1.23,2022,december,1
Nkhotakota,34.03,-12.9269,Dwangwa,2852,36.22,,417398,338299,1.23,2022,december,1
Nsanje,34.94,-16.6965,Shire,564,163.41,,314744,945241,0.33,2019,december,1
Nsanje,34.94,-16.6965,Shire,564,163.41,440.7,314744,945241,0.33,2020,december,0
Nsanje,34.94,-16.6965,Shire,564,163.41,51.5,314744,945241,0.33,2021,december,1
Nsanje,34.94,-16.6965,Shire,564,163.41,415.5,314744,945241,0.33,2022,december,1
Ntcheu,34.03,-14.7952,Ntcheu,3154,,118.2,711580,251471,2.83,2019,december,0
Ntcheu,34.03,-14.7952,Ntcheu,3154,,440.7,711580,251471,2.83,2020,december,0
Ntcheu,34.03,-14.7952,Ntcheu,3154,,3.1,711580,251471,2.83,2021,december,1
Ntcheu,34.03,-14.7952,Ntcheu,3154,,450.6,711580,251471,2.83,2022,december,1
Ntchisi,33.93,-13.3616,Linthipe,4027,,131.9,343651,709222,0.48,2019,december,0
Ntchisi,33.93,-13.3616,Linthipe,4027,,468.2,343651,709222,0.48,2020,december,0
Ntchisi,33.93,-13.3616,Linthipe,4027,,3.1,343651,709222,0.48,2021,december,0
Ntchisi,33.93,-13.3616,Linthipe,4027,,225.9,343651,709222,0.48,2022,december,1
Phalombe,35.59,-15.8087,Mwanza,2060,84.02,,462502,323315,1.43,2019,december,1
Phalombe,35.59,-15.8087,Namadzi,2060,33.36,,462502,323315,1.43,2019,december,1
Phalombe,35.59,-15.8087,Mudi,2060,65.77,,462502,323315,1.43,2019,december,1
Phalombe,35.59,-15.8087,Mwanza,2060,84.02,,462502,323315,1.43,2020,december,0
Phalombe,35.59,-15.8087,Namadzi,2060,33.36,,462502,323315,1.43,2020,december,0
Phalombe,35.59,-15.8087,Mudi,2060,65.77,,462502,323315,1.43,2020,december,0
Phalombe,35.59,-15.8087,Mwanza,2060,84.02,,462502,323315,1.43,2021,december,0
Phalombe,35.59,-15.8087,Namadzi,2060,33.36,,462502,323315,1.43,2021,december,0
Phalombe,35.59,-15.8087,Mudi,2060,65.77,,462502,323315,1.43,2021,december,0
Phalombe,35.59,-15.8087,Mwanza,2060,84.02,,462502,323315,1.43,2022,december,1
Phalombe,35.59,-15.8087,Namadzi,2060,33.36,,462502,323315,1.43,2022,december,1
Phalombe,35.59,-15.8087,Mudi,2060,65.77,,462502,323315,1.43,2022,december,1
Rumphi,33.86,-11.0222,East Rukuru River,4275,,,242541,560166,0.43,2019,december,0
Rumphi,33.86,-11.0222,North Rukuru River,4275,94.8,,242541,560166,0.43,2019,december,0
Rumphi,33.86,-11.0222,West Rukuru River,4275,,,242541,560166,0.43,2019,december,0
Rumphi,33.86,-11.0222,East Rukuru River,4275,,483.2,242541,560166,0.43,2020,december,0
Rumphi,33.86,-11.0222,North Rukuru River,4275,94.8,483.2,242541,560166,0.43,2020,december,0
Rumphi,33.86,-11.0222,West Rukuru River,4275,,483.2,242541,560166,0.43,2020,december,0
Rumphi,33.86,-11.0222,East Rukuru River,4275,,,242541,560166,0.43,2021,december,0
Rumphi,33.86,-11.0222,North Rukuru River,4275,94.8,,242541,560166,0.43,2021,december,0
Rumphi,33.86,-11.0222,West Rukuru River,4275,,,242541,560166,0.43,2021,december,0
Rumphi,33.86,-11.0222,East Rukuru River,4275,,487.2,242541,560166,0.43,2022,december,1
Rumphi,33.86,-11.0222,North Rukuru River,4275,94.8,487.2,242541,560166,0.43,2022,december,1
Rumphi,33.86,-11.0222,West Rukuru River,4275,,487.2,242541,560166,0.43,2022,december,1
Salima,34.46,-13.7888,Lilongwe,2034,1.87,93.9,517513,666590,0.78,2019,december,0
Salima,34.46,-13.7888,Lilongwe,2034,1.87,808.6,517513,666590,0.78,2020,december,0
Salima,34.46,-13.7888,Lilongwe,2034,1.87,45.7,517513,666590,0.78,2021,december,1
Salima,34.46,-13.7888,Lilongwe,2034,1.87,383,517513,666590,0.78,2022,december,1
Thyolo,35.12,-16.0842,Lichenya,2339,79.4,103.5,756048,666590,1.13,2019,december,0
Thyolo,35.12,-16.0842,Nansadi,2339,,103.5,756048,666590,1.13,2019,december,0
Thyolo,35.12,-16.0842,Ruo,2339,34.78,103.5,756048,666590,1.13,2019,december,0
Thyolo,35.12,-16.0842,Sombani,2339,60.11,103.5,756048,666590,1.13,2019,december,0
Thyolo,35.12,-16.0842,Thuchila,2339,21.32,103.5,756048,666590,1.13,2019,december,0
Thyolo,35.12,-16.0842,Lichenya,2339,79.4,730.9,756048,666590,1.13,2020,december,0
Thyolo,35.12,-16.0842,Nansadi,2339,,730.9,756048,666590,1.13,2020,december,0
Thyolo,35.12,-16.0842,Ruo,2339,34.78,730.9,756048,666590,1.13,2020,december,0
Thyolo,35.12,-16.0842,Sombani,2339,60.11,730.9,756048,666590,1.13,2020,december,0
Thyolo,35.12,-16.0842,Thuchila,2339,21.32,730.9,756048,666590,1.13,2020,december,0
Thyolo,35.12,-16.0842,Lichenya,2339,79.4,206.6,756048,666590,1.13,2021,december,0
Thyolo,35.12,-16.0842,Nansadi,2339,,206.6,756048,666590,1.13,2021,december,0
Thyolo,35.12,-16.0842,Ruo,2339,34.78,206.6,756048,666590,1.13,2021,december,0
Thyolo,35.12,-16.0842,Sombani,2339,60.11,206.6,756048,666590,1.13,2021,december,0
Thyolo,35.12,-16.0842,Thuchila,2339,21.32,206.6,756048,666590,1.13,2021,december,0
Thyolo,35.12,-16.0842,Lichenya,2339,79.4,411.7,756048,666590,1.13,2022,december,1
Thyolo,35.12,-16.0842,Nansadi,2339,,411.7,756048,666590,1.13,2022,december,1
Thyolo,35.12,-16.0842,Ruo,2339,34.78,411.7,756048,666590,1.13,2022,december,1
Thyolo,35.12,-16.0842,Sombani,2339,60.11,411.7,756048,666590,1.13,2022,december,1
Thyolo,35.12,-16.0842,Thuchila,2339,21.32,411.7,756048,666590,1.13,2022,december,1
Zomba,35.33,-15.3907,Mudi,2920,53.88,150.4,793314,501105,1.58,2019,december,1
Zomba,35.33,-15.3907,Mwanza,2920,72.12,150.4,793314,501105,1.58,2019,december,1
Zomba,35.33,-15.3907,Namadzi,2920,61.28,150.4,793315,501105,1.58,2019,december,1
Zomba,35.33,-15.3907,Likangala,2920,55.35,150.4,793316,501105,1.58,2019,december,1
Zomba,35.33,-15.3907,Mudi,2920,53.88,,793314,501105,1.58,2020,december,0
Zomba,35.33,-15.3907,Mwanza,2920,72.12,,793314,501105,1.58,2020,december,0
Zomba,35.33,-15.3907,Namadzi,2920,61.28,,793315,501105,1.58,2020,december,0
Zomba,35.33,-15.3907,Likangala,2920,55.35,,793316,501105,1.58,2020,december,0
Zomba,35.33,-15.3907,Mudi,2920,53.88,121.2,793314,501105,1.58,2021,december,1
Zomba,35.33,-15.3907,Mwanza,2920,72.12,121.2,793314,501105,1.58,2021,december,1
Zomba,35.33,-15.3907,Namadzi,2920,61.28,121.2,793315,501105,1.58,2021,december,1
Zomba,35.33,-15.3907,Likangala,2920,55.35,121.2,793316,501105,1.58,2021,december,1
Zomba,35.33,-15.3907,Mudi,2920,53.88,576,793314,501105,1.58,2022,december,1
Zomba,35.33,-15.3907,Mwanza,2920,72.12,576,793314,501105,1.58,2022,december,1
Zomba,35.33,-15.3907,Namadzi,2920,61.28,576,793315,501105,1.58,2022,december,1
Zomba,35.33,-15.3907,Likangala,2920,55.35,576,793316,501105,1.58,2022,december,1
